# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,19900101,   12
  260,19900102,   22
  260,19900103,   25
  260,19900104,   21
  260,19900105,   45
  260,19900106,   61
  260,19900107,   78
  260,19900108,   63
  260,19900109,   83
  260,19900110,   74
  260,19900111,   87
  260,19900112,   61
  260,19900113,   45
  260,19900114,   28
  260,19900115,  114
  260,19900116,  112
  260,19900117,  104
  260,19900118,   86
  260,19900119,   73
  260,19900120,   96
  260,19900121,  101
  260,19900122,  101
  260,19900123,  104
  260,19900124,   67
  260,19900125,  133
  260,19900126,   75
  260,19900127,   81
  260,19900128,  100
  260,19900129,   80
  260,19900130,  104
  260,19900131,  121
  260,19900201,  108
  260,19900202,   91
  260,19900203,   93
  260,19900204,  102
  260,19900205,  127
  260,19900206,  123
  260,19900207,  147
  260,19900208,  145
  260,19900209,  102
  260,19900210,   95
  260,19900211,   79
  260,19900212,   69
  260,19900213,   96
  260,19900214,   82
  260,19900215,   61
  260,19900216,   78
  260,19900217,   96
  260,19900218,   97
  260,19900219,  149
  260,19900220,  169
  260,19900221,  137
  260,19900222,  145
  260,19900223,  157
  260,19900224,  167
  260,19900225,  117
  260,19900226,  112
  260,19900227,   78
  260,19900228,  107
  260,19900301,   73
  260,19900302,   63
  260,19900303,   96
  260,19900304,   92
  260,19900305,   97
  260,19900306,  103
  260,19900307,  127
  260,19900308,  121
  260,19900309,   97
  260,19900310,  128
  260,19900311,  149
  260,19900312,  119
  260,19900313,  119
  260,19900314,  140
  260,19900315,  141
  260,19900316,  171
  260,19900317,  206
  260,19900318,  214
  260,19900319,  155
  260,19900320,  143
  260,19900321,  145
  260,19900322,  124
  260,19900323,  123
  260,19900324,  118
  260,19900325,   92
  260,19900326,   95
  260,19900327,   94
  260,19900328,  100
  260,19900329,  116
  260,19900330,  152
  260,19900331,  180
  260,19900401,  197
  260,19900402,  201
  260,19900403,  107
  260,19900404,   86
  260,19900405,   87
  260,19900406,  109
  260,19900407,  120
  260,19900408,  108
  260,19900409,   98
  260,19900410,  124
  260,19900411,  123
  260,19900412,  130
  260,19900413,  160
  260,19900414,  126
  260,19900415,  103
  260,19900416,  108
  260,19900417,  106
  260,19900418,   91
  260,19900419,   97
  260,19900420,  122
  260,19900421,  182
  260,19900422,  192
  260,19900423,  180
  260,19900424,  169
  260,19900425,  183
  260,19900426,  176
  260,19900427,  124
  260,19900428,  135
  260,19900429,  194
  260,19900430,  217
  260,19900501,  229
  260,19900502,  263
  260,19900503,  255
  260,19900504,  255
  260,19900505,  278
  260,19900506,  277
  260,19900507,  209
  260,19900508,  231
  260,19900509,  209
  260,19900510,  168
  260,19900511,  145
  260,19900512,  127
  260,19900513,  149
  260,19900514,  159
  260,19900515,  206
  260,19900516,  195
  260,19900517,  193
  260,19900518,  134
  260,19900519,  179
  260,19900520,  236
  260,19900521,  213
  260,19900522,  179
  260,19900523,  194
  260,19900524,  187
  260,19900525,  152
  260,19900526,  157
  260,19900527,  180
  260,19900528,  159
  260,19900529,  196
  260,19900530,  223
  260,19900531,  221
  260,19900601,  256
  260,19900602,  178
  260,19900603,  175
  260,19900604,  153
  260,19900605,  195
  260,19900606,  191
  260,19900607,  174
  260,19900608,  181
  260,19900609,  162
  260,19900610,  163
  260,19900611,  148
  260,19900612,  140
  260,19900613,  173
  260,19900614,  145
  260,19900615,  156
  260,19900616,  184
  260,19900617,  225
  260,19900618,  228
  260,19900619,  223
  260,19900620,  195
  260,19900621,  198
  260,19900622,  173
  260,19900623,  185
  260,19900624,  218
  260,19900625,  198
  260,19900626,  260
  260,19900627,  259
  260,19900628,  203
  260,19900629,  230
  260,19900630,  243
  260,19900701,  180
  260,19900702,  180
  260,19900703,  180
  260,19900704,  189
  260,19900705,  178
  260,19900706,  167
  260,19900707,  168
  260,19900708,  197
  260,19900709,  177
  260,19900710,  180
  260,19900711,  222
  260,19900712,  247
  260,19900713,  212
  260,19900714,  218
  260,19900715,  261
  260,19900716,  265
  260,19900717,  202
  260,19900718,  196
  260,19900719,  245
  260,19900720,  277
  260,19900721,  262
  260,19900722,  204
  260,19900723,  187
  260,19900724,  181
  260,19900725,  180
  260,19900726,  254
  260,19900727,  285
  260,19900728,  271
  260,19900729,  255
  260,19900730,  289
  260,19900731,  277
  260,19900801,  274
  260,19900802,  312
  260,19900803,  335
  260,19900804,  353
  260,19900805,  235
  260,19900806,  200
  260,19900807,  204
  260,19900808,  219
  260,19900809,  255
  260,19900810,  241
  260,19900811,  271
  260,19900812,  292
  260,19900813,  280
  260,19900814,  250
  260,19900815,  239
  260,19900816,  213
  260,19900817,  194
  260,19900818,  176
  260,19900819,  196
  260,19900820,  182
  260,19900821,  186
  260,19900822,  222
  260,19900823,  245
  260,19900824,  260
  260,19900825,  260
  260,19900826,  234
  260,19900827,  267
  260,19900828,  271
  260,19900829,  288
  260,19900830,  214
  260,19900831,  178
  260,19900901,  196
  260,19900902,  195
  260,19900903,  232
  260,19900904,  201
  260,19900905,  193
  260,19900906,  185
  260,19900907,  168
  260,19900908,  180
  260,19900909,  184
  260,19900910,  160
  260,19900911,  193
  260,19900912,  187
  260,19900913,  192
  260,19900914,  193
  260,19900915,  166
  260,19900916,  173
  260,19900917,  154
  260,19900918,  155
  260,19900919,  154
  260,19900920,  131
  260,19900921,  142
  260,19900922,  124
  260,19900923,  169
  260,19900924,  148
  260,19900925,  166
  260,19900926,  152
  260,19900927,  139
  260,19900928,  166
  260,19900929,  167
  260,19900930,  205
  260,19901001,  172
  260,19901002,  176
  260,19901003,  209
  260,19901004,  161
  260,19901005,  163
  260,19901006,  186
  260,19901007,  155
  260,19901008,  135
  260,19901009,  135
  260,19901010,  160
  260,19901011,  163
  260,19901012,  214
  260,19901013,  236
  260,19901014,  226
  260,19901015,  236
  260,19901016,  191
  260,19901017,  166
  260,19901018,  168
  260,19901019,  182
  260,19901020,  188
  260,19901021,  119
  260,19901022,  121
  260,19901023,  138
  260,19901024,  162
  260,19901025,  144
  260,19901026,  144
  260,19901027,  118
  260,19901028,  116
  260,19901029,  113
  260,19901030,  119
  260,19901031,  125
  260,19901101,  119
  260,19901102,   99
  260,19901103,   97
  260,19901104,   94
  260,19901105,   95
  260,19901106,   96
  260,19901107,   95
  260,19901108,   83
  260,19901109,   78
  260,19901110,  107
  260,19901111,  133
  260,19901112,  103
  260,19901113,  125
  260,19901114,  126
  260,19901115,  128
  260,19901116,  139
  260,19901117,  142
  260,19901118,  104
  260,19901119,   85
  260,19901120,   85
  260,19901121,   80
  260,19901122,   70
  260,19901123,   23
  260,19901124,   54
  260,19901125,   62
  260,19901126,   51
  260,19901127,   53
  260,19901128,   59
  260,19901129,   75
  260,19901130,   60
  260,19901201,   74
  260,19901202,   79
  260,19901203,   74
  260,19901204,   86
  260,19901205,   70
  260,19901206,   67
  260,19901207,   45
  260,19901208,   33
  260,19901209,   16
  260,19901210,   36
  260,19901211,   48
  260,19901212,   73
  260,19901213,   61
  260,19901214,   46
  260,19901215,   66
  260,19901216,   18
  260,19901217,   17
  260,19901218,    0
  260,19901219,   31
  260,19901220,   82
  260,19901221,   95
  260,19901222,   93
  260,19901223,   90
  260,19901224,   70
  260,19901225,   69
  260,19901226,   93
  260,19901227,   84
  260,19901228,   89
